"Source:","/home/strav/devel/diy-synth/multiple/multiple/multiple.kicad_sch"
"Date:","Sun 22 May 2022 03:45:25 PM EDT"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C3","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C4","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C5","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C6","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","D1","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"","","D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"","","J1","Power Connector","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","ULO Group","BHD10PHZT","Tayda","A-2939"
"","","J2","Input 1","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J3","Input 2","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J4","Output 5","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J5","Output 6","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J6","Output 4","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J7","Output 1","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J8","Output 2","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","J9","Output 3","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"","","R1","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R2","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R3","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R4","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R5","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R6","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","VARIOUS","TL074CN","Tayda","A-1138"
"","","U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","VARIOUS","TL074CN","Tayda","A-1138"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"1","2","C1, C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"2","4","C3, C4, C5, C6","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"3","2","D1, D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"4","1","J1","Power Connector","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","ULO Group","BHD10PHZT","Tayda","A-2939"
"5","1","J2","Input 1","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"6","1","J3","Input 2","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"7","1","J4","Output 5","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"8","1","J5","Output 6","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"9","1","J6","Output 4","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"10","1","J7","Output 1","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"11","1","J8","Output 2","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"12","1","J9","Output 3","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","Tayda","PJ-323M","Tayda","A-2557"
"13","6","R1, R2, R3, R4, R5, R6","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"14","2","U1, U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","VARIOUS","TL074CN","Tayda","A-1138"
